name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height,weight,death_date,death_city,death_state,death_country,year_start,year_end
Steve Ache,Steve,Ache,Syracuse,NY,USA,3/16/1962,SW Missouri St.,,,,,LB,3-Jun,229,,,,,1987,1987
George Achica,George,Achica,,,,12/19/1960,USC,Baltimore Colts,3rd,57th,1983,DT,5-Jun,260,,,,,1987,1987
Sneeze Achiu,Sneeze,Achiu,Honolulu,HI,USA,8/3/1902,Hawaii,,,,,WB-TB-E-BB,8-May,169,3/21/1989,Eugene,OR,,1987,1987
Emmanuel Acho,Emmanuel,Acho,,,,11/10/1990,Texas,Cleveland Browns,6th,204th,2012,OLB,1-Jun,238,,,,,1987,1987
Sam Acho,Sam,Acho,,,,9/6/1988,Texas,Arizona Cardinals,4th,103rd,2011,OLB,2-Jun,262,,,,,1987,1987
Bill Acker,Bill,Acker,Freer,TX,USA,11/7/1956,Texas,St. Louis Cardinals,6th,142nd,1980,NT,3-Jun,255,,,,,1980,1987
Rick Ackerman,Rick,Ackerman,La Grange,IL,USA,6/16/1959,Memphis,,,,,NT-DT,4-Jun,258,,,,,1980,1987
Tom Ackerman,Tom,Ackerman,Bellingham,WA,USA,9/6/1972,East. Washington,New Orleans Saints,5th,145th,1996,G-C,3-Jun,290,,,,,1980,1987
Ron Acks,Ron,Acks,Herrin,IL,USA,10/3/1944,Illinois,Minnesota Vikings,4th,57th,1966,LB,2-Jun,214,,,,,1980,1987
Fred Acorn,Fred,Acorn,Rotan,TX,USA,3/17/1961,Texas,Tampa Bay Buccaneers,3rd,57th,1984,DB,10-May,185,,,,,1984,1984
Ed Adamchik,Ed,Adamchik,Johnstown,PA,USA,11/2/1941,Pittsburgh,Buffalo Bills,21st,164th,1963,C,2-Jun,235,,,,,1965,1965
Mike Adamle,Mike,Adamle,Kent,OH,USA,10/4/1949,Northwestern,Kansas City Chiefs,5th,120th,1971,RB,9-May,197,,,,,1965,1965
Tony Adamle,Tony,Adamle,Fairmont,WV,USA,5/15/1924,Ohio St.,Chicago Bears,12th,105th,1947,LB-FB,Jun-00,215,10/7/2000,Kent,OH,,1965,1965
Anthony Adams,Anthony,Adams,Detroit,MI,USA,6/18/1980,Penn St.,San Francisco 49ers,2nd,57th,2003,DT-NT,Jun-00,300,,,,,1965,1965
Bill Adams,Bill,Adams,Lynn,MA,USA,2/4/1950,Holy Cross,Miami Dolphins,7th,161st,1972,G-T,2-Jun,255,,,,,1965,1965
Blue Adams,Blue,Adams,Miami,FL,USA,10/15/1979,Cincinnati,Detroit Lions,7th,220th,2003,DB,9-May,182,,,,,1965,1965
Bob Adams,Bob,Adams,Stockton,CA,USA,8/15/1946,Pacific,,,,,TE-T,2-Jun,225,,,,,1965,1965
Brent Adams,Brent,Adams,Elberton,GA,USA,6/26/1952,Tenn-Chattanooga,Atlanta Falcons,8th,185th,1975,T,5-Jun,256,,,,,1965,1965
Charlie Adams,Charlie,Adams,Camp Hill,PA,USA,10/23/1979,Hofstra,,,,,WR,2-Jun,190,,,,,1965,1965
Chet Adams,Chet,Adams,Cleveland,OH,USA,10/24/1915,Ohio,Cleveland Rams,12th,103rd,1939,T-E-DT,3-Jun,233,10/28/1990,Cleveland,OH,,1965,1965
Curtis Adams,Curtis,Adams,Muskegon,MI,USA,4/30/1962,Central Michigan,San Diego Chargers,8th,207th,1985,RB,Jun-00,198,,,,,1965,1965
Darvin Adams,Darvin,Adams,,,,1/5/1990,Auburn,,,,,WR,2-Jun,194,,,,,1965,1965
David Adams,David,Adams,Tucson,AZ,USA,6/24/1964,Arizona,Indianapolis Colts,12th,309th,1987,RB,6-May,168,,,,,1965,1965
Doug Adams,Doug,Adams,Xenia,OH,USA,11/3/1949,Ohio St.,Denver Broncos,7th,165th,1971,LB,1-Jun,225,8/9/1997,Macon,OH,,1965,1965
Earnest Adams,Earnest,Adams,Fort Lauderdale,FL,USA,3/12/1959,Illinois,,,,,LB,3-Jun,226,,,,,1965,1965
Flozell Adams,Flozell,Adams,Bellwood,FL,USA,5/18/1975,Michigan St.,Dallas Cowboys,2nd,38th,1998,T-G-TE,7-Jun,335,,,,,1965,1965
Gaines Adams,Gaines,Adams,Greenwood,SC,USA,6/8/1983,Clemson,Tampa Bay Buccaneers,1st,4th,2007,DE,5-Jun,258,1/17/2010,Greenwood,SC,,1965,1965
George Adams,George,Adams,Lexington,KY,USA,12/22/1962,Kentucky,New York Giants,1st,19th,1985,RB,1-Jun,225,,,,,1965,1965
Henry Adams,Henry,Adams,California,PA,USA,12/24/1915,Pittsburgh,,,,,C,1-Jun,190,,,,,1965,1965
Jamar Adams,Jamar,Adams,Matthews,NC,USA,11/29/1985,Michigan,,,,,DB,2-Jun,209,,,,,1965,1965
Jeff Adams,Jeff,Adams,,,,9/6/1989,Columbia,,,,,T,5-Jun,305,,,,,1965,1965
Joe Adams,Joe,Adams,,,,11/22/1989,Arkansas,Carolina Panthers,4th,104th,2012,WR,11-May,179,,,,,1965,1965
John Adams,John,Adams,Charleston,AR,USA,9/22/1921,Notre Dame,Washington Redskins,3rd,23rd,1945,T,7-Jun,242,8/20/1969,Bethesda,MD,,1965,1965
John Adams,John,Adams,San Diego,CA,USA,11/28/1937,UCLA,Chicago Bears,5th,57th,1959,E-FB,3-Jun,235,8/8/1995,Helendale,CA,,1965,1965
Johnny Adams,Johnny,Adams,,,,6/9/1989,Michigan St.,,,,,CB,10-May,185,,,,,1965,1965
Julius Adams,Julius,Adams,Macon,GA,USA,4/26/1948,Texas Southern,New England Patriots,2nd,27th,1971,DE-DT,3-Jun,270,,,,,1965,1965
Keith Adams,Keith,Adams,Norwood,MA,USA,11/22/1979,Clemson,Tennessee Titans,7th,232nd,2001,LB,11-May,223,,,,,1965,1965
Kendrick Adams,Kendrick,Adams,,,,11/3/1988,LSU,,,,,DL,5-Jun,250,,,,,1965,1965
Kris Adams,Kris,Adams,,,,9/4/1987,Texas-El Paso,,,,,WR,3-Jun,195,,,,,1965,1965
Kyle Adams,Kyle,Adams,,,,1/19/1988,Purdue,,,,,TE,4-Jun,255,,,,,1965,1965
Michael Adams,Michael,Adams,Shelby,MS,USA,4/5/1964,Arkansas St.,New Orleans Saints,3rd,67th,1987,DB,9-May,195,,,,,1965,1965
Michael Adams,Michael,Adams,Dallas,TX,USA,6/17/1985,La-Lafayette,,,,,DB,8-May,178,,,,,1965,1965
Mike Adams,Mike,Adams,Dallas,TX,USA,3/25/1974,Texas,Pittsburgh Steelers,7th,223rd,1997,WR,11-May,185,,,,,1965,1965
Mike Adams,Mike,Adams,Paterson,NJ,USA,3/24/1981,Delaware,,,,,DB,10-May,195,,,,,1965,1965
Mike Adams,Mike,Adams,,,,3/10/1990,Ohio St.,Pittsburgh Steelers,2nd,56th,2012,OT,7-Jun,323,,,,,1965,1965
Neal Adams,Neal,Adams,El Paso,AR,USA,1/21/1919,Arkansas,,,,,E,3-Jun,195,10/27/1998,Sand Springs,OK,,1965,1965
Pete Adams,Pete,Adams,San Diego,CA,USA,5/4/1951,USC,Cleveland Browns,1st,22nd,1973,G,4-Jun,260,,,,,1965,1965
Phillip Adams,Phillip,Adams,Rock Hill,SC,USA,7/20/1988,South Carolina St.,San Francisco 49ers,7th,224th,2010,DB,Jun-00,193,,,,,1965,1965
Sam Adams,Sam,Adams,Jasper,TX,USA,9/20/1948,Prairie View,,,,,G-T,3-Jun,256,,,,,1965,1965
Sam Adams,Sam,Adams,Houston,TX,USA,6/13/1973,Texas A&M,Seattle Seahawks,1st,8th,1994,DT-DE,3-Jun,295,,,,,1965,1965
Scott Adams,Scott,Adams,Lake City,FL,USA,9/28/1966,Georgia,,,,,G-T,5-Jun,301,,,,,1965,1965
Stan Adams,Stan,Adams,Marion,AR,USA,5/22/1960,Memphis,,,,,LB,2-Jun,215,,,,,1965,1965
Stefon Adams,Stefon,Adams,High Point,NC,USA,8/11/1963,East Carolina,Los Angeles Raiders,3rd,80th,1985,DB,10-May,189,,,,,1965,1965
Theo Adams,Theo,Adams,San Francisco,CA,USA,4/24/1966,Hawaii,,,,,T,4-Jun,300,,,,,1965,1965
Titus Adams,Titus,Adams,Omaha,NE,USA,1/28/1983,Nebraska,New York Jets,7th,220th,2006,DT,3-Jun,305,,,,,1965,1965
Tom Adams,Tom,Adams,Keewatin,MN,USA,4/26/1940,Minnesota-Duluth,,,,,WR,5-Jun,215,,,,,1965,1965
Tony Adams,Tony,Adams,San Antonio,TX,USA,3/9/1950,Texas,San Diego Chargers,14th,343rd,1973,QB,Jun-00,198,,,,,1965,1965
Vashone Adams,Vashone,Adams,Aurora,CO,USA,9/12/1973,Fort Hays St.,,,,,DB,10-May,197,,,,,1965,1965
Verlin Adams,Verlin,Adams,Burnwell,KY,USA,7/14/1918,Charleston (WV),New York Giants,31st,291st,1943,DE-T-G-E-LB,Jun-00,205,4/30/1985,Charleston,WV,,1965,1965
Willie Adams,Willie,Adams,Corpus Christi,TX,USA,12/12/1941,New Mexico St.,Washington Redskins,11th,146th,1965,DE-LB,2-Jun,235,,,,,1965,1965
Willis Adams,Willis,Adams,Weimar,TX,USA,8/22/1956,Houston,Cleveland Browns,1st,20th,1979,WR,2-Jun,194,,,,,1965,1965
Ken Adamson,Ken,Adamson,Phoenix,AZ,USA,10/12/1938,Notre Dame,,,,,G,2-Jun,235,,,,,1965,1965
Levy Adcock,Levy,Adcock,,,,11/12/1988,Oklahoma St.,,,,,T,6-Jun,324,,,,,2012,2012
Jahleel Addae,Jahleel,Addae,,,,1/24/1990,Cental Michigan,,,,,S,11-May,195,,,,,2013,2013
Joseph Addai,Joseph,Addai,Houston,TX,USA,5/3/1983,LSU,Indianapolis Colts,1st,30th,2006,RB,11-May,210,,,,,2013,2013
Abe Addams,Abe,Addams,Louisville,KY,USA,7/12/1926,Indiana,,,,,DE,2-Jun,220,,,,,2013,2013
Herb Adderley,Herb,Adderley,Philadelphia,PA,USA,6/8/1939,Michigan St.,Green Bay Packers,1st,12th,1961,DB,Jun-00,205,,,,,2013,2013
Mario Addison,Mario,Addison,,,,11/30/1989,Troy,,,,,DE,3-Jun,252,,,,,2013,2013
Tom Addison,Tom,Addison,Lancaster,SC,USA,4/12/1936,South Carolina,Baltimore Colts,12th,141st,1958,LB,2-Jun,230,6/14/2011,Bluffton,SC,,2013,2013
Nick Adduci,Nick,Adduci,Chicago,IL,USA,7/12/1929,Nebraska,,,,,LB,10-May,207,11/4/2005,Chicago,IL,,2013,2013
Victor Adeyanju,Victor,Adeyanju,,,,2/11/1983,Indiana,St. Louis Rams,4th,113th,2006,DE,4-Jun,270,,,,,2006,2009
Xavier Adibi,Xavier,Adibi,Stillwater,OK,USA,10/18/1984,Virginia Tech,Houston Texans,4th,118th,2008,LB,2-Jun,220,,,,,2008,2012
John Adickes,John,Adickes,Queens,NY,USA,6/29/1964,Baylor,Chicago Bears,6th,154th,1987,C,3-Jun,264,,,,,2008,2012
Mark Adickes,Mark,Adickes,Badconstadt,,Germany,4/22/1961,Baylor,Kansas City Chiefs,1st,5th,1984,G,4-Jun,278,,,,,2008,2012
Bob Adkins,Bob,Adkins,Letart,WV,USA,2/17/1917,Marshall,,,,,BB-DE-G-LB,1-Jun,213,12/6/1997,Pleasant Valley,WV,,1940,1945
Kevin Adkins,Kevin,Adkins,Midwest City,OK,USA,8/27/1965,Oklahoma,,,,,DB,1-Jun,250,,,,,1940,1945
Margene Adkins,Margene,Adkins,Fort Worth,TX,USA,4/30/1947,Henderson JC,Dallas Cowboys,2nd,49th,1970,WR,10-May,183,,,,,1940,1945
Roy Adkins,Roy,Adkins,Bement,IL,USA,1898-10-05,Millikin,,,,,G,7-May,180,2/10/1975,Montclair,NJ,,1940,1945
Sam Adkins,Sam,Adkins,Van Nuys,CA,USA,5/21/1955,Wichita St.,Seattle Seahawks,10th,254th,1977,QB,2-Jun,214,,,,,1940,1945
Spencer Adkins,Spencer,Adkins,Naples,FL,USA,5/16/1987,Miami (FL),Atlanta Falcons,6th,176th,2009,LB,11-May,246,,,,,1940,1945
James Adkisson,James,Adkisson,St. Louis,MO,USA,1/11/1980,South Carolina,,,,,WR,5-Jun,230,,,,,1940,1945
Daniel Adongo,Daniel,Adongo,,,,10/12/1989,Pretoria,,,,,LB,5-Jun,257,,,,,2013,2013
Al Afalava,Al,Afalava,Laie,HI,USA,1/20/1987,Oregon St.,Chicago Bears,6th,190th,2009,DB,11-May,213,,,,,2009,2012
Erik Affholter,Erik,Affholter,Detroit,MI,USA,4/10/1966,USC,Washington Redskins,4th,110th,1989,WR,Jun-00,187,,,,,1991,1991
Dick Afflis,Dick,Afflis,Lafayette,IN,USA,6/27/1929,Purdue,Green Bay Packers,16th,186th,1951,T-DG-G,Jun-00,251,11/10/1991,Largo,FL,,1991,1991
Ben Agajanian,Ben,Agajanian,Santa Ana,CA,USA,8/28/1919,New Mexico,,,,,K,Jun-00,215,,,,,1945,1964
Alex Agase,Alex,Agase,Chicago,IL,USA,3/27/1922,Purdue,Green Bay Packers,8th,71st,1944,LB-G,10-May,212,5/3/2007,Tarpon Springs,FL,,1945,1964
Louis Age,Louis,Age,New Orleans,LA,USA,2/1/1970,La-Lafayette,Chicago Bears,11th,304th,1992,T,7-Jun,350,,,,,1992,1992
Mel Agee,Mel,Agee,Chicago,IL,USA,11/22/1968,Illinois,Indianapolis Colts,6th,152nd,1991,DE-DT,5-Jun,300,6/15/2008,Lawrenceville,GA,,1992,1992
Sam Agee,Sam,Agee,Courtland,AL,USA,10/21/1915,Vanderbilt,,,,,FB,1-Jun,218,11/2/2006,Sparta,TN,,1992,1992
Tommie Agee,Tommie,Agee,Chilton,AL,USA,2/22/1964,Auburn,Seattle Seahawks,5th,119th,1987,RB,Jun-00,225,,,,,1992,1992
Bob Agler,Bob,Agler,Columbus,OH,USA,3/13/1924,Otterbein,,,,,HB-DB-FB-LB,1-Jun,208,9/16/2005,Westerville,OH,,1948,1949
Ray Agnew,Ray,Agnew,Winston-Salem,NC,USA,12/9/1967,North Carolina St.,New England Patriots,1st,10th,1990,DT-DE,3-Jun,285,,,,,1990,2000
Vincent Agnew,Vincent,Agnew,,,,12/28/1987,,,,,,CB,10-May,192,,,,,1990,2000
Louie Aguiar,Louie,Aguiar,Livermore,CA,USA,6/30/1966,Utah St.,,,,,P,2-Jun,215,,,,,1991,2000
Joe Aguirre,Joe,Aguirre,Rock Springs,WV,USA,10/17/1918,St. Mary's (CA),Washington Redskins,11th,100th,1941,E,4-Jun,225,7/13/1985,Grass Valley,CA,,1991,2000
C.J. Ah You,C.J.,Ah,LaHabra,CA,USA,7/7/1982,Oklahoma,Buffalo Bills,7th,239th,2007,DE,4-Jun,265,,,,,2009,2011
Chidi Ahanotu,Chidi,Ahanotu,Modesto,CA,USA,10/11/1970,California,Tampa Bay Buccaneers,6th,145th,1993,DE-DT,2-Jun,283,,,,,1993,2004
Dan Ahern,Dan,Ahern,Manchester,NH,USA,1898-02-15,Georgetown (DC),,,,,T,2-Jun,200,8/31/1963,Washington,DC,,1921,1921
Dave Ahrens,Dave,Ahrens,Cedar Falls,IA,USA,12/5/1958,Wisconsin,St. Louis Cardinals,6th,143rd,1981,LB,3-Jun,238,,,,,1981,1990
Tony Aiello,Tony,Aiello,Monongahela,PA,USA,4/29/1921,Youngstown St.,,,,,WB-BB,6-May,165,2/24/2012,Norwalk,OH,,1944,1944
Danny Aiken,Danny,Aiken,,,,8/28/1988,Virginia,,,,,LS,4-Jun,250,,,,,2011,2013
Kamar Aiken,Kamar,Aiken,,,,5/30/1989,Central Florida,,,,,WR,2-Jun,212,,,,,2011,2013
Sam Aiken,Sam,Aiken,Kenansville,NC,USA,12/14/1980,North Carolina,Buffalo Bills,4th,127th,2003,WR,2-Jun,204,,,,,2011,2013
Carl Aikens,Carl,Aikens,Great Lakes,IL,USA,6/5/1962,Northern Illinois,,,,,WR,1-Jun,185,,,,,2011,2013
Troy Aikman,Troy,Aikman,West Covina,CA,USA,11/21/1966,Oklahoma,Dallas Cowboys,1st,1st,1989,QB,4-Jun,219,,,,,2011,2013
Jim Ailinger,Jim,Ailinger,Buffalo,NY,USA,7/10/1901,Buffalo,,,,,G,11-May,185,3/27/2001,Rochester,NY,,1924,1924
Charles Aiu,Charles,Aiu,Honolulu,HI,USA,5/22/1954,Hawaii,,,,,G,2-Jun,251,12/28/2001,,,,1976,1978
Victor Aiyewa,Victor,Aiyewa,,,,2/4/1987,,,,,,LB,1-Jun,219,,,,,2013,2013
Seyi Ajirotutu,Seyi,Ajirotutu,El Dorado Hills,CA,USA,6/12/1987,Fresno St.,,,,,WR,3-Jun,211,,,,,2010,2013
Hakim Akbar,Hakim,Akbar,Riverside,CA,USA,8/11/1980,Washington,New England Patriots,5th,163rd,2001,LB,Jun-00,222,,,,,2001,2002
David Akers,David,Akers,Lexington,KY,USA,12/9/1974,Louisville,,,,,K,10-May,200,,,,,1998,2013
Harold Akin,Harold,Akin,McAlester,OK,USA,1/11/1945,Oklahoma St.,San Diego Chargers,3rd,67th,1967,T,5-Jun,260,,,,,1967,1968
Len Akin,Len,Akin,McKinney,TX,USA,4/8/1916,Baylor,Chicago Bears,7th,57th,1940,G-LB,11-May,207,3/5/1987,Irving,TX,,1967,1968
Al Akins,Al,Akins,Spokane,WA,USA,6/13/1921,Washington,Cleveland Rams,6th,53rd,1944,HB-DB,1-Jun,199,8/29/1995,Reno,NV,,1967,1968
Chris Akins,Chris,Akins,Little Rock,AR,USA,11/29/1976,Arkansas,Green Bay Packers,7th,212th,1999,DB,11-May,200,,,,,1967,1968
Frank Akins,Frank,Akins,John,MT,USA,3/31/1919,Washington St.,Washington Redskins,30th,290th,1943,FB,10-May,208,7/6/1992,Redding,CA,,1967,1968
Mike Akiu,Mike,Akiu,Kailua,HI,USA,2/12/1962,Washington St.,Houston Oilers,7th,170th,1985,WR,9-May,182,,,,,1967,1968
Anthony Alabi,Anthony,Alabi,San Antonio,TX,USA,2/16/1981,TCU,Miami Dolphins,5th,162nd,2005,T,5-Jun,315,,,,,2006,2007
Ikaika Alama-Francis,Ikaika,Alama-Francis,Kane'ohe,HI,USA,12/4/1984,Hawaii,Detroit Lions,2nd,58th,2007,DE,5-Jun,280,,,,,2006,2007
Dick Alban,Dick,Alban,Hanover,PA,USA,1/17/1929,Northwestern,Washington Redskins,9th,103rd,1952,DB,Jun-00,193,,,,,1952,1959
Dom Albanese,Dom,Albanese,,OH,USA,9/9/1903,Ohio Dominican,,,,,BB-E-FB,9-May,190,3/17/1992,Lancaster,OH,,1952,1959
Vannie Albanese,Vannie,Albanese,Syracuse,NY,USA,12/2/1912,Syracuse,,,,,FB-DB-BB-LB,Jun-00,184,9/2/1984,Canandaigua,NY,,1952,1959
Tom Alberghini,Tom,Alberghini,Peabody,MA,USA,10/27/1920,Holy Cross,Cleveland Rams,13th,115th,1943,G,10-May,200,,,,,1952,1959
Branden Albert,Branden,Albert,Rochester,NY,USA,11/4/1984,Virginia,Kansas City Chiefs,1st,15th,2008,G,5-Jun,215,,,,,1952,1959
Frankie Albert,Frankie,Albert,Chicago,IL,USA,1/27/1920,Stanford,Chicago Bears,1st,10th,1942,QB-DB,10-May,166,9/4/2002,Palo Alto,CA,,1952,1959
Sergio Albert,Sergio,Albert,Mexico City,,Mexico,10/28/1951,Anahuac (Mexico),St. Louis Cardinals,8th,189th,1974,K,3-Jun,195,,,,,1952,1959
Trev Alberts,Trev,Alberts,Cedar Falls,IA,USA,8/8/1970,Nebraska,Indianapolis Colts,1st,5th,1994,LB,4-Jun,245,,,,,1952,1959
Art Albrecht,Art,Albrecht,Manitowoc,WI,USA,2/24/1921,Wisconsin,,,,,T-C-LB,1-Jun,203,2/1/2004,Manitowoc,WI,,1952,1959
Ted Albrecht,Ted,Albrecht,Harvey,IL,USA,10/8/1954,California,Chicago Bears,1st,15th,1977,T-G,4-Jun,253,,,,,1952,1959
Alex Albright,Alex,Albright,,,,1/29/1988,Boston Col.,,,,,LB,5-Jun,251,,,,,1952,1959
Bill Albright,Bill,Albright,Racine,WI,USA,4/4/1929,Wisconsin,New York Giants,20th,242nd,1951,G-T-DT,1-Jun,233,1/17/2013,Spooner,WI,,1952,1959
Ethan Albright,Ethan,Albright,Greensboro,NC,USA,5/1/1971,North Carolina,,,,,G-C-T,5-Jun,283,,,,,1952,1959
Ira Albright,Ira,Albright,Dallas,TX,USA,1/2/1959,NE State (OK),,,,,NT-RB,Jun-00,285,,,,,1952,1959
Vince Albritton,Vince,Albritton,Oakland,CA,USA,7/23/1962,Washington,,,,,DB,2-Jun,215,,,,,1952,1959
Zac Alcorn,Zac,Alcorn,Chadron,NE,USA,8/24/1980,Chadron St.,,,,,TE,4-Jun,260,,,,,2006,2006
Grady Alderman,Grady,Alderman,Detroit,MI,USA,12/10/1938,Detroit Mercy,Detroit Lions,10th,111th,1960,T-G,2-Jun,247,,,,,1960,1974
John Alderton,John,Alderton,,,,9/5/1931,Maryland,Pittsburgh Steelers,7th,77th,1953,DE,1-Jun,200,,,,,1960,1974
Ki Aldrich,Ki,Aldrich,Rogers,TX,USA,6/1/1916,TCU,Chicago Cardinals,1st,1st,1939,C-LB-G,Jun-00,207,3/12/1983,Temple,TX,,1960,1974
Allen Aldridge,Allen,Aldridge,Eagle Lake,TX,USA,4/27/1945,Prairie View,,,,,DE,6-Jun,250,,,,,1960,1974
Allen Aldridge,Allen,Aldridge,Houston,TX,USA,5/30/1972,Houston,Denver Broncos,2nd,51st,1994,LB,1-Jun,254,,,,,1960,1974
Bennie Aldridge,Bennie,Aldridge,Velma,OK,USA,10/24/1926,Oklahoma St.,New York Yanks,6th,68th,1950,DB-HB,Jun-00,195,5/14/1956,Bradley,OK,,1960,1974
Jerry Aldridge,Jerry,Aldridge,Jacksonville,TX,USA,9/17/1956,Angelo State (TX),San Francisco 49ers,5th,119th,1979,RB,2-Jun,220,,,,,1960,1974
Kevin Aldridge,Kevin,Aldridge,Palestine,TX,USA,3/3/1980,SMU,,,,,DE,1-Jun,285,,,,,1960,1974
Lionel Aldridge,Lionel,Aldridge,Evergreen,LA,USA,2/14/1941,Utah St.,Houston Oilers,6th,47th,1963,DE,3-Jun,254,2/12/1998,Shorewood,WI,,1960,1974
Melvin Aldridge,Melvin,Aldridge,Pittsburgh,TX,USA,7/22/1970,Murray St.,,,,,DB,2-Jun,195,,,,,1960,1974
Arnold Ale,Arnold,Ale,San Pedro,CA,USA,6/17/1970,Notre Dame,,,,,LB,2-Jun,234,,,,,1994,1996
Ink Aleaga,Ink,Aleaga,Honolulu,HI,USA,4/27/1973,Washington,,,,,LB,1-Jun,251,,,,,1994,1996
